"sex"	"age"	"edu"	"occ"	"oexp"	"income"
"612"	"f"	48	"low"	"low"	25	1277
"613"	"m"	58	"med."	"high"	37	1543
"614"	"m"	47	"med."	"med."	28	1511
"615"	"f"	26	"med."	"low"	0	976
"616"	"f"	35	"low"	"low"	7	1026
"617"	"m"	55	"low"	"med."	36	1472
"618"	"f"	28	"low"	"low"	9	715
"619"	"f"	58	"low"	"low"	37	1078
"620"	"f"	54	"low"	"low"	32	947
"621"	"m"	53	"low"	"low"	35	1388
"622"	"f"	48	"high"	"med."	17	1288
"623"	"m"	57	"low"	"med."	38	1313
"624"	"m"	51	"low"	"med."	33	1437
"625"	"m"	35	"med."	"med."	14	1379
"626"	"m"	57	"med."	"high"	35	1641
"627"	"m"	43	"med."	"high"	23	1342
"628"	"f"	42	"high"	"high"	11	1466
"629"	"f"	50	"med."	"high"	26	1480
"630"	"f"	29	"med."	"low"	4	917
"631"	"f"	49	"high"	"high"	21	1507
"632"	"f"	58	"med."	"high"	41	1536
"633"	"f"	52	"med."	"med."	30	1334
"634"	"m"	50	"low"	"med."	31	1206
"635"	"m"	26	"low"	"low"	8	1041
"636"	"m"	34	"low"	"low"	15	1304
"637"	"f"	35	"med."	"low"	6	1257
"638"	"m"	25	"med."	"low"	2	1089
"639"	"m"	61	"med."	"high"	39	1701
"640"	"m"	35	"med."	"med."	15	1280
"641"	"m"	46	"med."	"med."	27	1479
"642"	"f"	24	"low"	"low"	2	920
"643"	"m"	39	"med."	"high"	18	1383
"644"	"f"	25	"low"	"low"	4	1040
"645"	"m"	45	"low"	"low"	29	1083
"646"	"f"	41	"high"	"high"	10	1537
"647"	"f"	54	"med."	"med."	28	1394
"648"	"f"	40	"low"	"low"	15	1224
"649"	"f"	40	"low"	"low"	17	1126
"650"	"m"	42	"med."	"med."	22	1346
"651"	"m"	53	"med."	"high"	33	1532
"652"	"m"	41	"low"	"low"	22	1037
"653"	"f"	40	"low"	"low"	14	759
"654"	"m"	45	"med."	"high"	25	1703
"655"	"m"	51	"low"	"med."	32	1407
"656"	"f"	30	"low"	"low"	7	932
"657"	"f"	62	"med."	"med."	38	1102
"658"	"f"	31	"low"	"low"	5	963
"659"	"f"	56	"med."	"low"	31	1174
"660"	"m"	50	"med."	"high"	30	1621
"661"	"m"	27	"high"	"high"	3	1632
"662"	"m"	31	"high"	"med."	8	1250
"663"	"m"	41	"med."	"med."	19	1376
"664"	"f"	44	"med."	"med."	20	1222
"665"	"m"	50	"low"	"high"	33	1374
"666"	"f"	24	"med."	"med."	0	1144
"667"	"m"	33	"med."	"med."	12	1247
"668"	"f"	22	"med."	"low"	0	1103
"669"	"m"	27	"med."	"low"	7	1256
"670"	"m"	34	"med."	"med."	11	1473
"671"	"m"	58	"high"	"high"	34	1805
"672"	"m"	49	"low"	"low"	31	1128
"673"	"m"	27	"low"	"low"	9	1042
"674"	"f"	25	"low"	"low"	2	789
"675"	"m"	20	"med."	"med."	0	1049
"676"	"f"	48	"low"	"med."	22	1147
"677"	"m"	50	"low"	"med."	32	1317
"678"	"m"	23	"med."	"med."	2	1235
"679"	"m"	26	"high"	"high"	1	1457
"680"	"m"	42	"high"	"high"	17	1543
"681"	"m"	21	"low"	"low"	1	1058
"682"	"f"	43	"high"	"med."	17	1298
"683"	"m"	52	"low"	"med."	34	1218
"684"	"f"	41	"high"	"high"	13	1476
"685"	"f"	27	"low"	"low"	5	909
"686"	"m"	63	"high"	"high"	39	1742
"687"	"f"	32	"med."	"med."	6	1211
"688"	"m"	53	"low"	"med."	35	1461
"689"	"f"	42	"high"	"med."	13	1433
"690"	"f"	47	"high"	"high"	15	1490
"691"	"m"	57	"low"	"high"	39	1572
"692"	"m"	33	"med."	"high"	12	1531
"693"	"f"	27	"high"	"med."	0	1215
"694"	"m"	47	"low"	"med."	27	1580
"695"	"f"	22	"med."	"med."	0	1181
"696"	"m"	31	"med."	"med."	10	1239
"697"	"f"	60	"med."	"med."	33	1198
"698"	"m"	60	"med."	"high"	39	1957
"699"	"f"	34	"low"	"low"	14	1024
"700"	"f"	62	"high"	"high"	31	1521
"701"	"f"	39	"med."	"low"	17	922
"702"	"m"	55	"low"	"high"	38	1562
"703"	"m"	40	"med."	"high"	20	1445
"704"	"f"	48	"med."	"med."	29	1136
"705"	"f"	27	"low"	"low"	6	984
"706"	"f"	59	"low"	"low"	42	1219
"707"	"m"	53	"low"	"high"	36	1435
"708"	"m"	42	"high"	"high"	18	1638
"709"	"m"	33	"high"	"high"	8	1524
"710"	"f"	30	"high"	"high"	0	1555
"711"	"m"	59	"low"	"high"	40	1477
"712"	"m"	33	"med."	"med."	11	1493
"713"	"m"	35	"high"	"high"	9	1708
"714"	"m"	60	"high"	"high"	34	1514
"715"	"m"	45	"low"	"high"	27	1456
"716"	"m"	49	"low"	"med."	31	1512
"717"	"f"	48	"high"	"high"	18	1497
"718"	"m"	47	"high"	"high"	22	1623
"719"	"m"	64	"high"	"high"	39	1765
"720"	"f"	29	"low"	"low"	9	951
"721"	"f"	44	"high"	"high"	14	1542
"722"	"f"	38	"low"	"low"	19	796
"723"	"f"	27	"low"	"low"	3	1159
"724"	"f"	62	"med."	"low"	41	1092
"725"	"f"	25	"high"	"med."	0	946
"726"	"f"	37	"med."	"med."	11	1374
"727"	"m"	57	"high"	"high"	32	1784
"728"	"m"	47	"med."	"high"	27	1534
"729"	"f"	35	"low"	"low"	11	1036
"730"	"f"	33	"high"	"med."	5	1149
"731"	"m"	30	"med."	"med."	9	1410
"732"	"f"	46	"high"	"med."	21	1277
"733"	"f"	34	"high"	"high"	7	1629
"734"	"m"	45	"high"	"high"	20	1897
"735"	"f"	45	"med."	"med."	17	1247
"736"	"m"	39	"low"	"med."	22	1522
"737"	"m"	62	"low"	"med."	45	1651
"738"	"f"	34	"med."	"med."	9	1383
"739"	"f"	42	"high"	"high"	12	1335
"740"	"m"	31	"high"	"high"	6	1697
"741"	"m"	51	"med."	"med."	29	1416
"742"	"f"	29	"med."	"med."	4	1154
"743"	"m"	32	"low"	"low"	15	1137
"744"	"m"	38	"low"	"med."	20	1204
"745"	"f"	51	"med."	"med."	22	1163
"746"	"f"	28	"low"	"low"	5	791
"747"	"m"	48	"low"	"med."	30	1401
"748"	"m"	57	"low"	"high"	39	1608
"749"	"f"	24	"low"	"low"	0	761
"750"	"m"	20	"med."	"low"	0	1054
"751"	"f"	59	"med."	"high"	35	1571
"752"	"m"	37	"low"	"low"	21	1155
"753"	"f"	53	"med."	"med."	26	1281
"754"	"f"	39	"med."	"med."	18	1060
"755"	"m"	57	"med."	"med."	36	1506
"756"	"m"	34	"med."	"med."	12	1492
"757"	"m"	40	"high"	"high"	16	1667
"758"	"m"	45	"high"	"high"	20	1700
"759"	"f"	39	"med."	"med."	15	1078
"760"	"m"	23	"med."	"low"	2	948
"761"	"f"	32	"high"	"med."	3	1298
"762"	"m"	27	"med."	"med."	6	1122
"763"	"m"	32	"med."	"med."	9	1199
"764"	"m"	25	"low"	"low"	7	1222
"765"	"m"	28	"med."	"med."	6	1259
"766"	"m"	39	"high"	"high"	14	1645
"767"	"f"	48	"med."	"med."	25	1118
"768"	"m"	47	"low"	"med."	28	1311
"769"	"m"	55	"low"	"med."	36	1527
"770"	"f"	51	"med."	"med."	27	1210
"771"	"m"	31	"low"	"low"	13	1231
"772"	"m"	58	"low"	"med."	40	1382
"773"	"f"	42	"med."	"med."	16	1222
"774"	"m"	32	"med."	"med."	12	1277
"775"	"f"	46	"high"	"med."	18	1448
"776"	"m"	45	"med."	"med."	24	1357
"777"	"m"	43	"med."	"high"	20	1467
"778"	"f"	55	"low"	"low"	30	1299
"779"	"m"	59	"low"	"med."	41	1380
"780"	"m"	62	"high"	"high"	36	1763
"781"	"m"	41	"med."	"med."	20	1551
"782"	"f"	59	"low"	"med."	37	1123
"783"	"m"	28	"med."	"low"	7	1093
"784"	"m"	58	"high"	"high"	32	1763
"785"	"f"	42	"low"	"low"	20	1056
"786"	"f"	25	"med."	"low"	2	980
"787"	"m"	55	"low"	"low"	37	1408
"789"	"f"	31	"high"	"med."	0	1254
"790"	"f"	47	"low"	"low"	26	1069
"791"	"f"	33	"low"	"low"	11	895
"792"	"f"	58	"med."	"high"	32	1352
"793"	"f"	40	"low"	"low"	17	949
"794"	"f"	54	"high"	"med."	24	1296
"795"	"f"	40	"high"	"high"	12	1466
"796"	"f"	26	"low"	"low"	3	994
"797"	"m"	49	"low"	"med."	32	1398
"798"	"f"	36	"low"	"low"	15	1064
"799"	"m"	25	"low"	"low"	6	1078
"800"	"f"	51	"low"	"med."	28	1265
"801"	"f"	49	"low"	"low"	28	1124
"802"	"m"	29	"med."	"high"	7	1232
"803"	"f"	37	"low"	"low"	19	1077
"804"	"m"	52	"low"	"high"	36	1602
"805"	"m"	25	"low"	"low"	6	1044
"806"	"m"	27	"med."	"med."	5	1292
"807"	"f"	31	"low"	"low"	9	916
"808"	"f"	62	"high"	"high"	30	1663
"809"	"f"	42	"low"	"low"	22	1147
"810"	"m"	36	"low"	"low"	18	1406
"811"	"f"	61	"low"	"low"	38	960
"812"	"m"	53	"low"	"med."	34	1287
"813"	"f"	52	"low"	"low"	35	1237
"814"	"f"	39	"med."	"med."	14	1236
"815"	"f"	29	"med."	"low"	5	1206
"816"	"f"	41	"low"	"med."	18	1121
"817"	"f"	60	"low"	"low"	39	958
"818"	"f"	26	"low"	"low"	1	841
"819"	"f"	62	"high"	"high"	33	1697
"820"	"m"	20	"low"	"low"	0	824
"821"	"f"	25	"low"	"low"	5	883
"822"	"m"	24	"med."	"low"	5	1257
"823"	"m"	32	"low"	"low"	13	1180
"824"	"m"	53	"low"	"high"	35	1546
"825"	"m"	48	"low"	"low"	29	1187
"826"	"m"	55	"low"	"med."	38	1484
"827"	"m"	31	"low"	"med."	12	1279
"828"	"m"	53	"low"	"med."	35	1352
"829"	"m"	50	"med."	"med."	30	1610
"830"	"m"	47	"med."	"med."	27	1433
"831"	"m"	27	"low"	"low"	9	1263
"832"	"f"	39	"med."	"med."	15	1142
"833"	"m"	56	"high"	"high"	30	1927
"834"	"f"	25	"low"	"low"	4	979
"835"	"f"	39	"low"	"low"	19	1190
"836"	"f"	41	"high"	"high"	12	1450
"837"	"m"	45	"low"	"med."	27	1455
"838"	"f"	51	"med."	"med."	26	1353
"839"	"m"	45	"med."	"high"	24	1539
"840"	"f"	57	"low"	"low"	35	975
"841"	"f"	49	"low"	"med."	25	1032
"842"	"m"	55	"med."	"high"	34	1487
"843"	"f"	34	"med."	"med."	9	1198
"844"	"m"	59	"med."	"high"	37	1443
"845"	"f"	56	"low"	"low"	32	1039
"846"	"f"	34	"med."	"med."	10	1072
"847"	"m"	37	"low"	"med."	19	1288
"848"	"f"	40	"high"	"high"	7	1331
"849"	"m"	40	"high"	"high"	17	1356
"850"	"m"	60	"low"	"high"	43	1575
"851"	"f"	31	"med."	"med."	7	986
"852"	"m"	44	"med."	"high"	23	1640
"853"	"m"	24	"high"	"high"	0	1663
"854"	"f"	56	"high"	"high"	32	1537
"855"	"m"	36	"low"	"low"	17	1067
"856"	"f"	46	"low"	"low"	25	1029
"857"	"m"	42	"low"	"med."	23	1296
"858"	"f"	28	"high"	"med."	0	1317
"859"	"m"	55	"low"	"med."	35	1393
"860"	"m"	44	"med."	"med."	24	1119
"861"	"m"	65	"low"	"med."	48	1520
"862"	"m"	27	"med."	"med."	5	1235
"863"	"m"	21	"med."	"med."	1	1183
"864"	"f"	24	"med."	"med."	0	1042
"865"	"m"	53	"low"	"high"	37	1479
"866"	"f"	29	"low"	"low"	3	1029
"867"	"f"	50	"low"	"low"	33	934
"868"	"f"	49	"high"	"high"	20	1291
"869"	"m"	34	"low"	"low"	16	1096
"870"	"m"	48	"med."	"high"	26	1495
"871"	"f"	61	"low"	"low"	44	948
"872"	"m"	34	"low"	"low"	16	1195
"873"	"m"	42	"low"	"low"	25	1207
"874"	"m"	44	"low"	"med."	28	1349
"875"	"m"	37	"low"	"low"	19	1505
"876"	"f"	31	"med."	"med."	6	1409
"877"	"f"	42	"med."	"high"	18	1405
"878"	"m"	55	"high"	"high"	30	1937
"879"	"f"	46	"med."	"low"	19	1201
"880"	"m"	54	"low"	"high"	36	1466
"881"	"m"	52	"low"	"high"	33	1441
"882"	"m"	52	"med."	"high"	31	1527
"883"	"m"	40	"high"	"high"	15	1546
"884"	"m"	25	"med."	"med."	3	1012
"885"	"m"	59	"low"	"high"	41	1538
"886"	"m"	49	"med."	"med."	28	1466
"887"	"m"	52	"med."	"high"	32	1754
"888"	"m"	53	"med."	"high"	30	1678
"889"	"f"	43	"high"	"high"	14	1595
"890"	"f"	52	"low"	"med."	30	1164
"891"	"f"	18	"med."	"low"	0	878
"892"	"m"	30	"med."	"low"	9	1120
"893"	"f"	32	"low"	"low"	11	859
"894"	"f"	59	"med."	"high"	31	1594
"895"	"f"	48	"high"	"high"	22	1463
"896"	"f"	33	"med."	"med."	9	1251
"897"	"f"	49	"high"	"high"	23	1320
"898"	"m"	64	"high"	"high"	39	1821
"899"	"f"	37	"high"	"high"	8	1638
"900"	"m"	25	"low"	"med."	6	1266
"901"	"f"	37	"high"	"med."	9	1322
"902"	"m"	49	"med."	"med."	28	1518
"903"	"m"	55	"med."	"high"	34	1481
"904"	"f"	60	"low"	"low"	36	1106
"905"	"f"	41	"low"	"low"	23	985
"906"	"m"	40	"low"	"low"	20	1204
"907"	"m"	38	"med."	"high"	18	1431
"908"	"f"	61	"med."	"med."	35	1184
"909"	"f"	25	"low"	"low"	4	1102
"910"	"f"	62	"low"	"med."	41	1237
"911"	"m"	24	"med."	"med."	2	1160
"912"	"m"	39	"low"	"med."	22	1112
"913"	"f"	31	"low"	"low"	8	954
"914"	"f"	51	"med."	"low"	25	1264
"915"	"m"	38	"med."	"med."	17	1691
"916"	"m"	40	"low"	"low"	22	1178
"917"	"m"	29	"high"	"high"	6	1557
"918"	"m"	30	"med."	"med."	9	1242
"919"	"f"	54	"med."	"med."	28	1297
"920"	"f"	54	"high"	"high"	27	1636
"921"	"f"	46	"low"	"low"	21	1068
"922"	"f"	64	"low"	"low"	45	1046
"923"	"f"	39	"med."	"high"	12	1371
"924"	"f"	42	"med."	"med."	18	1344
"925"	"m"	58	"med."	"high"	37	1589
"926"	"m"	47	"high"	"high"	21	1597
"927"	"m"	41	"low"	"med."	23	1263
"928"	"m"	58	"med."	"high"	38	1423
"929"	"f"	38	"med."	"med."	10	1098
"930"	"f"	57	"high"	"high"	31	1613
"931"	"f"	37	"low"	"low"	15	900
"932"	"m"	51	"low"	"low"	34	1461
"933"	"m"	52	"med."	"high"	30	1659
"934"	"m"	48	"med."	"high"	28	1612
"935"	"f"	55	"med."	"med."	26	1331
"936"	"m"	34	"low"	"low"	15	1070
"937"	"m"	52	"med."	"med."	31	1395
"938"	"m"	45	"high"	"high"	19	1682
"939"	"f"	31	"low"	"low"	8	966
"940"	"f"	34	"med."	"med."	8	1153
"941"	"m"	56	"high"	"high"	30	1693
"942"	"m"	58	"low"	"med."	39	1386
"943"	"m"	51	"low"	"med."	34	1333
"944"	"f"	53	"low"	"med."	27	1144
"945"	"f"	24	"low"	"low"	3	1052
"946"	"m"	37	"med."	"med."	14	1276
"947"	"f"	61	"low"	"low"	40	1093
"948"	"f"	36	"high"	"high"	8	1307
"949"	"m"	26	"med."	"med."	7	1022
"950"	"m"	59	"med."	"high"	37	1540
"951"	"f"	29	"med."	"med."	12	1246
"952"	"m"	35	"low"	"med."	18	1146
"953"	"m"	44	"low"	"med."	27	1574
"954"	"m"	38	"low"	"low"	20	1258
"955"	"m"	46	"low"	"low"	27	1508
"956"	"m"	60	"low"	"high"	42	1470
"957"	"f"	48	"med."	"med."	24	1366
"958"	"f"	59	"high"	"high"	29	1586
"959"	"m"	46	"med."	"high"	26	1405
"960"	"m"	26	"med."	"low"	3	1476
"961"	"m"	61	"med."	"high"	40	1550
"962"	"m"	62	"low"	"high"	43	1462
"963"	"m"	24	"high"	"high"	0	1647
"964"	"m"	26	"high"	"med."	0	1460
"965"	"f"	34	"med."	"med."	12	957
"966"	"f"	62	"high"	"high"	34	1919
"967"	"f"	53	"low"	"low"	28	1045
"968"	"m"	56	"low"	"med."	39	1491
"969"	"f"	55	"low"	"med."	35	1177
"970"	"f"	58	"low"	"low"	40	1126
"971"	"m"	39	"med."	"med."	17	1318
"972"	"m"	25	"low"	"low"	6	942
"973"	"f"	46	"low"	"low"	18	869
"974"	"f"	35	"med."	"med."	4	1179
"975"	"f"	32	"low"	"low"	12	996
"976"	"f"	24	"low"	"low"	4	841
"977"	"f"	34	"low"	"low"	15	888
"978"	"m"	53	"low"	"med."	33	1325
"979"	"m"	27	"low"	"low"	10	1081
"980"	"m"	38	"high"	"med."	12	1537
"981"	"f"	31	"high"	"high"	0	1213
"982"	"m"	52	"high"	"high"	28	1620
"983"	"m"	57	"med."	"high"	34	1616
"984"	"m"	57	"high"	"high"	32	1849
"985"	"f"	36	"med."	"med."	13	884
"986"	"m"	35	"high"	"high"	11	1610
"987"	"m"	22	"med."	"med."	1	1301
"988"	"f"	32	"low"	"low"	10	862
"989"	"m"	38	"med."	"med."	18	1324
"990"	"m"	57	"low"	"high"	40	1395
"991"	"f"	35	"med."	"low"	9	995
"992"	"f"	20	"high"	"high"	0	1475
"993"	"m"	28	"high"	"high"	2	1511
"994"	"m"	42	"med."	"high"	21	1554
"995"	"f"	56	"high"	"med."	26	1511
"996"	"m"	26	"high"	"med."	0	1199
"997"	"f"	23	"high"	"med."	0	1317
"998"	"f"	26	"high"	"high"	3	1528
"999"	"m"	51	"med."	"high"	30	1711
"1000"	"f"	28	"low"	"low"	5	867
"1001"	"m"	51	"low"	"med."	33	1443
"1002"	"m"	53	"low"	"med."	35	1368
"1003"	"m"	51	"med."	"high"	32	1477
"1004"	"m"	33	"low"	"low"	17	1373
"1005"	"m"	62	"low"	"med."	44	1259
"1006"	"m"	25	"high"	"high"	0	1635
"1007"	"f"	30	"low"	"low"	4	704
"1008"	"m"	55	"high"	"high"	29	1813
"1009"	"f"	31	"med."	"low"	3	1096
"1010"	"f"	58	"high"	"high"	27	1399
"1011"	"f"	34	"low"	"low"	12	981
"1012"	"f"	51	"low"	"low"	27	1216
"1013"	"f"	37	"high"	"high"	13	1680
"1014"	"f"	41	"low"	"low"	18	770
"1015"	"f"	51	"low"	"low"	29	1117
"1016"	"m"	20	"low"	"low"	2	876
"1017"	"f"	22	"low"	"low"	0	859
"1018"	"f"	30	"med."	"med."	6	1439
"1019"	"m"	53	"low"	"med."	34	1477
"1020"	"m"	47	"low"	"med."	29	1340
"1021"	"m"	20	"med."	"low"	0	1052
"1022"	"f"	47	"high"	"high"	17	1510
"1023"	"f"	27	"high"	"high"	0	1413
"1024"	"f"	36	"high"	"med."	4	1252
"1025"	"m"	36	"high"	"high"	12	1730
"1026"	"f"	43	"high"	"high"	16	1538
"1027"	"f"	41	"low"	"low"	20	1272
"1028"	"f"	27	"med."	"med."	0	949
"1029"	"m"	47	"high"	"high"	22	1703
"1030"	"m"	43	"high"	"med."	19	1541
"1031"	"m"	30	"high"	"high"	7	1563
"1032"	"m"	49	"high"	"high"	25	1825
"1033"	"f"	63	"low"	"low"	42	1252
"1034"	"m"	51	"low"	"med."	34	1453
"1035"	"m"	45	"high"	"high"	21	1773
"1036"	"f"	48	"low"	"low"	24	939
"1037"	"f"	41	"med."	"med."	15	1220
"1038"	"f"	41	"low"	"med."	19	1067
"1039"	"m"	39	"med."	"high"	18	1351
"1040"	"m"	18	"low"	"low"	2	989
"1041"	"m"	56	"low"	"high"	38	1443
"1042"	"m"	52	"med."	"high"	32	1450
"1043"	"m"	29	"med."	"med."	9	1301
"1044"	"f"	57	"low"	"med."	36	1270
"1045"	"m"	36	"high"	"med."	12	1309
"1046"	"f"	48	"high"	"high"	19	1432
"1047"	"m"	42	"low"	"med."	24	1502
"1048"	"m"	60	"low"	"high"	41	1589
"1049"	"m"	23	"high"	"high"	0	1365
"1050"	"m"	51	"med."	"med."	29	1581
"1051"	"m"	40	"low"	"med."	23	1295
"1052"	"m"	53	"high"	"high"	26	1612
"1053"	"m"	46	"low"	"high"	28	1267
"1054"	"m"	55	"med."	"high"	34	1723
"1055"	"m"	27	"low"	"low"	9	955
"1056"	"m"	24	"med."	"low"	1	1137
"1057"	"f"	50	"med."	"high"	24	1283
"1058"	"f"	55	"low"	"med."	30	1242
"1059"	"m"	49	"med."	"high"	30	1638
"1060"	"m"	34	"high"	"high"	8	1573
"1061"	"m"	60	"low"	"high"	43	1227
"1062"	"m"	23	"low"	"low"	5	859
"1063"	"m"	52	"low"	"med."	35	1531
"1064"	"m"	45	"high"	"high"	20	1797
"1065"	"f"	33	"low"	"low"	13	972
"1066"	"f"	50	"med."	"med."	24	1098
"1067"	"f"	34	"low"	"low"	12	907
"1068"	"m"	39	"low"	"med."	22	1300
"1069"	"f"	43	"low"	"low"	24	952
"1070"	"m"	30	"high"	"high"	4	1489
"1071"	"f"	46	"med."	"med."	18	1104
"1072"	"f"	48	"low"	"low"	26	956
"1073"	"f"	51	"low"	"low"	29	1127
"1074"	"f"	64	"low"	"low"	41	830
"1075"	"f"	62	"low"	"med."	39	1296
"1076"	"m"	60	"low"	"med."	42	1532
"1077"	"f"	58	"med."	"med."	31	1325
"1078"	"m"	28	"med."	"med."	8	1206
"1079"	"f"	31	"low"	"low"	11	1055
"1080"	"f"	60	"low"	"low"	34	1104
"1081"	"m"	23	"low"	"low"	6	1013
"1082"	"f"	60	"high"	"high"	38	1623
"1083"	"f"	29	"high"	"high"	3	1496
"1084"	"f"	19	"low"	"low"	0	887
"1085"	"m"	28	"med."	"med."	7	1333
"1086"	"f"	57	"high"	"high"	30	1811
"1087"	"f"	24	"med."	"low"	1	732
"1088"	"f"	53	"low"	"low"	29	1166
"1089"	"f"	53	"high"	"med."	25	1409
"1090"	"m"	43	"med."	"med."	21	1402
"1091"	"f"	61	"low"	"low"	39	1122
"1092"	"m"	55	"low"	"med."	37	1145
"1093"	"f"	36	"low"	"low"	15	1244
"1094"	"f"	60	"high"	"high"	30	1634
"1095"	"m"	45	"low"	"low"	26	1274
"1096"	"m"	35	"high"	"med."	9	1468
"1097"	"f"	24	"high"	"high"	0	1341
"1098"	"m"	33	"med."	"med."	12	1363
"1100"	"m"	45	"low"	"low"	27	1334
"1101"	"f"	30	"low"	"low"	6	817
"1102"	"f"	31	"low"	"low"	10	1067
"1103"	"m"	45	"low"	"med."	26	1296
"1104"	"f"	35	"low"	"low"	12	1204
"1105"	"m"	59	"low"	"high"	41	1476
"1106"	"m"	43	"med."	"high"	22	1500
"1107"	"m"	56	"low"	"high"	39	1626
"1108"	"f"	24	"low"	"low"	2	982
"1109"	"f"	54	"low"	"low"	35	1258
"1110"	"m"	40	"med."	"med."	18	1398
"1111"	"f"	55	"med."	"med."	32	1171
"1112"	"m"	63	"high"	"high"	37	1671
"1113"	"f"	21	"high"	"high"	0	1289
"1114"	"m"	46	"med."	"high"	26	1371
"1115"	"m"	35	"med."	"med."	13	1322
"1116"	"m"	43	"med."	"med."	22	1625
"1117"	"f"	23	"low"	"low"	0	1203
"1118"	"m"	43	"med."	"med."	21	1301
"1119"	"f"	29	"med."	"med."	1	924
"1120"	"f"	33	"med."	"med."	9	1171
"1121"	"m"	33	"med."	"med."	12	1344
"1122"	"m"	25	"med."	"med."	4	1181
"1123"	"f"	27	"med."	"med."	3	1027
"1124"	"f"	35	"med."	"high"	7	1338
"1125"	"m"	50	"med."	"high"	29	1607
"1126"	"m"	26	"med."	"high"	6	1490
"1127"	"f"	56	"high"	"high"	32	1616
"1128"	"m"	48	"med."	"high"	27	1446
"1129"	"f"	39	"med."	"low"	14	1075
"1130"	"m"	24	"high"	"high"	0	1409
"1131"	"m"	38	"med."	"med."	16	1297
"1132"	"f"	53	"med."	"med."	27	1351
"1133"	"m"	46	"high"	"high"	21	1594
"1134"	"m"	36	"low"	"low"	18	1261
"1135"	"m"	55	"med."	"high"	34	1864
"1136"	"m"	63	"low"	"med."	46	1462
"1137"	"m"	18	"high"	"med."	0	1354
"1138"	"m"	44	"low"	"med."	27	1358
"1139"	"m"	22	"low"	"low"	5	1065
"1140"	"f"	36	"low"	"low"	13	1132
"1141"	"m"	51	"med."	"high"	31	1405
"1142"	"f"	59	"med."	"med."	32	1069
"1143"	"m"	30	"low"	"low"	12	1089
"1144"	"f"	30	"low"	"low"	7	1033
"1145"	"f"	40	"med."	"med."	14	1049
"1146"	"f"	28	"med."	"med."	3	1271
"1147"	"m"	42	"med."	"high"	22	1664
"1148"	"m"	42	"med."	"high"	21	1656
"1149"	"f"	55	"med."	"high"	29	1312
"1150"	"m"	59	"med."	"high"	39	1513
"1151"	"m"	51	"low"	"med."	33	1276
"1152"	"m"	28	"med."	"med."	7	1220
"1153"	"m"	41	"high"	"high"	18	1728
"1154"	"m"	56	"med."	"high"	33	1511
"1155"	"f"	42	"med."	"med."	17	1217
"1156"	"f"	25	"high"	"med."	0	1324
"1157"	"m"	39	"low"	"med."	21	1205
"1158"	"f"	31	"low"	"low"	8	807
"1159"	"m"	44	"med."	"high"	24	1481
"1160"	"f"	25	"low"	"low"	4	798
"1161"	"f"	26	"low"	"low"	2	913
"1162"	"m"	46	"med."	"high"	25	1466
"1163"	"m"	25	"low"	"low"	8	982
"1164"	"m"	32	"high"	"high"	4	1330
"1165"	"m"	52	"low"	"high"	34	1344
"1166"	"m"	34	"low"	"low"	15	1123
"1167"	"f"	59	"low"	"med."	40	1104
"1168"	"m"	27	"low"	"low"	10	1262
"1169"	"m"	50	"high"	"high"	25	1650
"1170"	"m"	39	"low"	"med."	21	1229
"1171"	"m"	45	"low"	"low"	27	1248
"1172"	"m"	26	"low"	"low"	7	1013
"1173"	"m"	33	"high"	"high"	6	1404
"1174"	"m"	54	"high"	"high"	28	1763
"1175"	"f"	52	"med."	"med."	28	1206
"1176"	"m"	50	"low"	"high"	32	1390
"1177"	"m"	65	"low"	"high"	47	1591
"1178"	"f"	50	"med."	"med."	27	1306
"1179"	"m"	31	"low"	"low"	13	1217
"1180"	"m"	52	"med."	"high"	31	1559
"1181"	"m"	60	"high"	"high"	33	1637
"1182"	"m"	46	"low"	"high"	29	1261
"1183"	"f"	32	"high"	"high"	3	1266
"1184"	"m"	29	"high"	"high"	3	1512
"1185"	"m"	52	"low"	"med."	33	1425
"1186"	"f"	45	"low"	"low"	24	850
"1187"	"m"	30	"med."	"med."	7	1449
"1188"	"m"	38	"low"	"low"	19	1071
"1189"	"f"	37	"high"	"med."	10	1206
"1190"	"m"	49	"med."	"high"	27	1610
"1191"	"f"	58	"low"	"low"	39	1090
"1192"	"f"	25	"low"	"low"	5	1080
"1193"	"m"	37	"low"	"low"	20	1117
"1194"	"m"	47	"high"	"high"	22	2071
"1195"	"f"	38	"med."	"med."	12	1036
"1196"	"f"	52	"high"	"high"	21	1468
"1197"	"m"	47	"low"	"med."	29	1627
"1198"	"m"	58	"low"	"med."	40	1361
"1199"	"f"	54	"low"	"low"	33	927
"1200"	"f"	54	"high"	"high"	22	1407
"1201"	"m"	22	"high"	"med."	0	1430
"1202"	"f"	46	"low"	"low"	26	1038
"1203"	"m"	38	"high"	"high"	15	1516
"1204"	"f"	29	"low"	"low"	10	1062
"1205"	"m"	30	"med."	"med."	8	1385
"1206"	"m"	43	"low"	"med."	27	1372
"1207"	"m"	26	"med."	"low"	5	1287
"1208"	"m"	43	"med."	"med."	23	1523
"1209"	"f"	47	"low"	"low"	24	908
"1210"	"f"	46	"med."	"med."	19	1434
"1211"	"m"	36	"high"	"high"	12	1755
"1212"	"m"	56	"med."	"high"	35	1774
"1213"	"m"	49	"high"	"high"	22	1643
"1214"	"m"	31	"med."	"med."	9	1332
